model,precision_score,recall_score,f1_score,best_params
Hyper_RFC_SomteTomek,37.45,52.15,43.6,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 9}"
Hyper_RFC_Over_Ran,34.48,53.76,42.02,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 6}"
Hyper_XGB_Weight,33.44,54.3,41.39,"{'colsample_bytree': 1.0, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6}"
Hyper_XGB_Over_Ran,37.04,37.63,37.33,"{'colsample_bytree': 1.0, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0}"
rfc_under_ran,31.21,73.66,43.84,
easy_ensemble,28.79,79.57,42.29,
svm_c_weight,28.37,75.81,41.29,
svm_c_over_ran,28.17,76.34,41.16,
svm_c_under_nm,28.17,76.34,41.16,
xgb_weight,41.81,39.78,40.77,
svm_c_over_ran,27.8,74.73,40.52,
svm_c_over_smote,27.8,74.73,40.52,
svm_c_over_smote,27.74,74.73,40.47,
svm_c_smoteTomek,27.74,74.73,40.47,
xgb_under_ran,29.01,66.13,40.33,
log_reg_over_smote,28.25,67.74,39.87,
log_reg_over_ran,28.25,67.74,39.87,
log_reg_weight,28.06,67.74,39.69,
svm_c_under_ran,27.89,68.82,39.69,
log_reg_smoteTomek,28.15,67.2,39.68,
log_reg_over_smote,28.15,67.2,39.68,
log_reg_under_nm,27.41,67.2,38.94,
log_reg_over_ran,27.41,67.2,38.94,
log_reg_under_ran,27.65,64.52,38.71,
knn_under_ran,27.46,64.52,38.52,
rfc_over_smote,44.85,32.8,37.89,
knn_over_smote,27.14,58.06,36.99,
knn_over_ran,27.14,58.06,36.99,
knn_over_smote,27.14,58.06,36.99,
knn_smoteTomek,27.14,58.06,36.99,
knn_over_ran,26.89,55.38,36.2,
knn_under_nm,26.89,55.38,36.2,
xgb_over_ran,38.41,33.87,36.0,
xgb_under_nm,38.41,33.87,36.0,
rfc_over_ran,41.91,30.65,35.4,
rfc_smoteTomek,43.65,29.57,35.26,
rfc_over_smote,40.6,29.03,33.86,
rfc_under_ran,19.55,74.73,30.99,
rfc_under_nm,44.0,23.66,30.77,
xgb_under_ran,19.18,75.27,30.57,
xgb_under_nm,19.18,75.27,30.57,
rfc_under_nm,19.24,73.66,30.51,
log_reg_under_ran,19.05,69.35,29.9,
log_reg_under_nm,19.05,69.35,29.9,
svm_c_under_ran,19.3,65.59,29.83,
svm_c_under_nm,19.3,65.59,29.83,
knn_under_ran,19.15,65.05,29.58,
knn_under_nm,19.15,65.05,29.58,
rfc_over_ran,44.09,22.04,29.39,
xgb_smoteTomek,36.67,23.66,28.76,
xgb_over_smote,36.67,23.66,28.76,
xgb_over_ran,37.14,20.97,26.8,
xgb_over_smote,37.14,20.97,26.8,
xgb_unbal,38.54,19.89,26.24,
knn_weight,34.94,15.59,21.56,
knn_unbal,34.94,15.59,21.56,
rfc_unbal,51.35,10.22,17.04,
rfc_weight,44.12,8.06,13.64,
log_reg_unbal,62.5,5.38,9.9,
svm_c_unbal,0.0,0.0,0.0,
